,UF,codMun,AreaPrestacao
643,MG,3159407,Setor 2
644,MG,3159506,Setor 2
645,MG,3159605,Setor 2
646,MG,3159704,Setor 2
647,MG,3159902,Setor 2
648,MG,3160009,Setor 2
649,MG,3160108,Setor 2
650,MG,3160207,Setor 2
651,MG,3160306,Setor 2
652,MG,3160405,Setor 2
653,MG,3160454,Setor 2
654,MG,3160504,Setor 2
655,MG,3160603,Setor 2
656,MG,3160702,Setor 2
657,MG,3160801,Setor 2
658,MG,3160900,Setor 2
659,MG,3160959,Setor 2
660,MG,3161007,Setor 2
661,MG,3161056,Setor 2
662,MG,3161106,Setor 2
663,MG,3161205,Setor 2
664,MG,3161403,Setor 2
665,MG,3161502,Setor 2
666,MG,3161601,Setor 2
667,MG,3161650,Setor 2
668,MG,3161700,Setor 2
669,MG,3161809,Setor 2
670,MG,3161908,Setor 2
671,MG,3162005,Setor 2
672,MG,3162104,Setor 2
673,MG,3162203,Setor 2
674,MG,3162252,Setor 2
675,MG,3162302,Setor 2
676,MG,3162401,Setor 2
677,MG,3162450,Setor 2
678,MG,3162500,Setor 2
679,MG,3162559,Setor 2
680,MG,3162575,Setor 2
681,MG,3162609,Setor 2
682,MG,3162658,Setor 2
683,MG,3162708,Setor 2
684,MG,3162807,Setor 2
685,MG,3162906,Setor 2
686,MG,3162922,Setor 2
687,MG,3162948,Setor 2
688,MG,3162955,Setor 2
689,MG,3163003,Setor 2
690,MG,3163201,Setor 2
691,MG,3163300,Setor 2
692,MG,3163409,Setor 2
693,MG,3163508,Setor 2
694,MG,3163607,Setor 2
695,MG,3163706,Setor 2
696,MG,3163805,Setor 2
697,MG,3163904,Setor 2
698,MG,3164001,Setor 2
699,MG,3164100,Setor 2
700,MG,3164209,Setor 2
701,MG,3164308,Setor 2
702,MG,3164407,Setor 2
703,MG,3164431,Setor 2
704,MG,3164472,Setor 2
705,MG,3164506,Setor 2
706,MG,3164605,Setor 2
707,MG,3164704,Setor 2
708,MG,3164803,Setor 2
709,MG,3164902,Setor 2
710,MG,3165008,Setor 2
711,MG,3165107,Setor 2
712,MG,3165206,Setor 2
713,MG,3165305,Setor 2
714,MG,3165404,Setor 2
715,MG,3165503,Setor 2
716,MG,3165537,Setor 2
717,MG,3165552,Setor 2
718,MG,3165560,Setor 2
719,MG,3165578,Setor 2
720,MG,3165602,Setor 2
721,MG,3165701,Setor 2
722,MG,3165800,Setor 2
723,MG,3165909,Setor 2
724,MG,3166006,Setor 2
725,MG,3166105,Setor 2
726,MG,3166204,Setor 2
727,MG,3166303,Setor 2
728,MG,3166402,Setor 2
729,MG,3166501,Setor 2
730,MG,3166600,Setor 2
731,MG,3166709,Setor 2
732,MG,3166808,Setor 2
733,MG,3166907,Setor 2
734,MG,3166956,Setor 2
735,MG,3167004,Setor 2
736,MG,3167103,Setor 2
737,MG,3167202,Setor 2
738,MG,3167301,Setor 2
739,MG,3167400,Setor 2
740,MG,3167509,Setor 2
741,MG,3167608,Setor 2
742,MG,3167707,Setor 2
743,MG,3167806,Setor 2
744,MG,3167905,Setor 2
745,MG,3168002,Setor 2
746,MG,3168051,Setor 2
747,MG,3168101,Setor 2
748,MG,3168200,Setor 2
749,MG,3168309,Setor 2
750,MG,3168408,Setor 2
751,MG,3168507,Setor 2
752,MG,3168606,Setor 2
753,MG,3168705,Setor 2
754,MG,3168804,Setor 2
755,MG,3168903,Setor 2
756,MG,3169000,Setor 2
757,MG,3169059,Setor 2
758,MG,3169109,Setor 2
759,MG,3169208,Setor 2
760,MG,3169307,Setor 2
761,MG,3169356,Setor 2
762,MG,3169406,Setor 2
763,MG,3169505,Setor 2
764,MG,3169703,Setor 2
765,MG,3169802,Setor 2
766,MG,3169901,Setor 2
767,MG,3170008,Setor 2
768,MG,3170057,Setor 2
769,MG,3170305,Setor 2
770,MG,3170404,Setor 2
771,MG,3170479,Setor 2
772,MG,3170503,Setor 2
773,MG,3170529,Setor 2
774,MG,3170578,Setor 2
775,MG,3170602,Setor 2
776,MG,3170651,Setor 2
